,h1_z1,h1_z2,h1_z3,h2_z1,h2_z2,h2_z3,h3_z1,h3_z2,h3_z3,h4_z1,h4_z2,h4_z3,h5_z1,h5_z2,h5_z3,h6_z1,h6_z2,h6_z3,h7_z1,h7_z2,h7_z3,h8_z1,h8_z2,h8_z3,h9_z1,h9_z2,h9_z3,h10_z1,h10_z2,h10_z3,h11_z1,h11_z2,h11_z3,h12_z1,h12_z2,h12_z3
0,0.04112359550561797,-0.34685393258426966,-0.31393258426966303,-1.113658536585366,-0.8407317073170731,-0.2763414634146341,-0.5920689655172413,-0.2837931034482758,0.06563218390804594,-1.371081081081081,-0.5905405405405405,-0.4354054054054054,-1.3863333333333334,-1.2246666666666666,-0.711,-0.46219999999999994,-0.6123999999999998,-0.07100000000000001,0.006041666666666612,-0.48625,0.10604166666666665,-0.8735185185185187,-1.176296296296296,-0.04703703703703707,-1.1138461538461537,-0.49692307692307697,-0.6646153846153846,-0.7265957446808512,-0.815531914893617,-0.23851063829787236,-1.2807894736842105,-0.15947368421052632,-0.17210526315789482,-0.8521428571428571,-0.20514285714285718,-0.3548571428571428
0,-0.8747368421052633,-0.16368421052631585,0.013157894736842084,-0.8997619047619049,-1.002142857142857,-0.5526190476190477,-0.4662499999999999,-0.08222222222222222,0.22111111111111104,-1.072,-0.7251428571428571,-0.288,-1.013666666666667,-1.1153333333333333,-0.5286666666666667,-0.524,-0.5871999999999999,-0.009800000000000033,-0.14098039215686278,-0.455,-0.051764705882352956,-0.9953703703703707,-0.9635185185185184,-0.3270370370370371,-0.694814814814815,-1.1855555555555555,0.0025925925925925947,-0.6840425531914893,-0.48765957446808517,-0.24042553191489363,-1.079777777777778,-0.4342222222222222,-0.23600000000000007,-0.3500000000000001,-0.9986,-0.37439999999999996
0,-0.012795698924731197,-0.5700000000000001,-0.2726881720430108,-1.1473170731707318,-0.8953658536585363,-0.17780487804878048,-0.22616279069767428,-0.4993023255813955,0.27430232558139533,-1.082972972972973,-0.4662162162162161,-0.39513513513513515,-1.0456666666666667,-1.405,-0.8573333333333333,-0.41800000000000004,-0.8011999999999999,0.015599999999999978,-0.06291666666666662,-0.6041666666666666,0.043958333333333266,-1.1446296296296294,-1.115,-0.14907407407407408,-1.5146153846153845,-0.4650000000000001,-0.6507692307692309,-0.6842553191489362,-0.9440425531914891,-0.14744680851063832,-1.1294736842105264,-0.3352631578947369,-0.23263157894736847,-0.4004285714285715,-0.2478571428571429,-0.24442857142857152
0,0.3757142857142856,-0.6808928571428572,-0.11196428571428572,-0.9438095238095239,-0.709047619047619,-0.23023809523809527,-0.3903703703703704,-0.18666666666666673,0.18407407407407406,-1.1297297297297297,-0.6048648648648648,-0.5656756756756759,-1.0236666666666667,-1.3103333333333333,-0.7693333333333333,-0.868,-0.5054,-0.16060000000000002,-0.02142857142857141,-0.6014285714285714,0.09367346938775509,-1.1922222222222223,-0.9629629629629629,-0.05351851851851856,-0.7503703703703705,-0.6092592592592594,-0.7351851851851853,-0.7461702127659574,-0.9361702127659575,-0.343191489361702,-1.726315789473684,-0.13421052631578942,0.057368421052631596,-0.6895238095238095,-0.5738095238095237,-0.20730158730158735
0,0.4512053571428571,-0.7611160714285715,0.07446428571428572,-1.2292682926829268,-1.0485365853658537,-0.08829268292682932,-0.5911504424778762,-0.46477876106194693,0.026106194690265476,-1.288857142857143,-0.7465714285714286,-0.3585714285714286,-1.321,-1.240333333333333,-0.8546666666666667,-0.4700000000000001,-0.6335999999999999,-0.11740000000000003,-0.004791666666666712,-0.48875,-0.057083333333333375,-1.3329629629629627,-0.7848148148148149,-0.16740740740740745,-1.1785185185185185,-0.5025925925925926,0.0011111111111111202,-1.0006382978723407,-0.7527659574468085,-0.2738297872340425,-1.3413157894736842,-0.1318421052631579,0.15763157894736843,-0.6614444444444445,-0.3495555555555556,-0.2284444444444445
0,0.2463513513513513,-0.27635135135135136,-0.16662162162162159,-1.140238095238095,-0.9464285714285713,-0.11785714285714284,-0.5331395348837209,-0.17511627906976734,-0.044534883720930264,-1.424857142857143,-0.5688571428571427,0.03657142857142858,-1.233,-1.1136666666666666,-0.7086666666666666,-0.41420000000000007,-0.6761999999999999,-0.0041999999999999815,-0.10854166666666672,-0.7135416666666666,0.14625,-1.4407407407407409,-0.7398148148148146,-0.16555555555555554,-0.8534482758620691,-0.5593103448275861,-0.5682758620689655,-0.9141666666666667,-0.5160416666666666,0.22520833333333332,-1.1207894736842106,-0.41394736842105256,-0.09026315789473688,-0.6165116279069769,-0.5963953488372092,-0.39569767441860465
0,-0.04628571428571431,-0.38628571428571423,-0.11885714285714297,-1.5370731707317074,-0.9768292682926829,-0.053414634146341504,-0.5846511627906977,-0.46558139534883736,0.00860465116279065,-1.1454054054054055,-0.9289189189189189,-0.354054054054054,-1.301,-1.094,-0.6973333333333332,-0.8313999999999999,-0.5905999999999999,-0.18480000000000005,-0.5514583333333335,-0.828125,-0.301875,-1.459074074074074,-0.5861111111111112,0.03666666666666665,-1.338888888888889,-0.8048148148148146,-0.4711111111111112,-0.7791489361702129,-0.7191489361702126,-0.26191489361702125,-1.0205263157894737,-0.44552631578947366,-0.05710526315789475,-0.1800925925925927,-0.5646296296296297,-0.23379629629629636
0,0.07929411764705876,-0.7856470588235295,-0.0010588235294117917,-1.3678048780487808,-1.0980487804878047,-0.29536585365853657,-0.4117582417582418,-0.2996703296703297,0.0985714285714285,-1.2545714285714287,-0.8377142857142854,-0.21914285714285717,-1.4020000000000001,-1.2716666666666667,-0.8556666666666666,-0.5364,-0.7145999999999999,-0.10280000000000003,-0.3954166666666666,-0.759375,0.025208333333333315,-1.593148148148148,-0.9366666666666664,-0.1472222222222222,-0.756551724137931,-0.533448275862069,0.02620689655172416,-0.7260416666666667,-0.440625,0.1814583333333333,-1.3507894736842108,0.1444736842105263,0.32868421052631575,-0.44697674418604655,-0.5945348837209303,-0.2769767441860465
0,0.07929411764705876,-0.7856470588235295,-0.0010588235294117917,-1.3678048780487808,-1.0980487804878047,-0.29536585365853657,-0.4117582417582418,-0.2996703296703297,0.0985714285714285,-1.2545714285714287,-0.8377142857142854,-0.21914285714285717,-1.4020000000000001,-1.2716666666666667,-0.8556666666666666,-0.5364,-0.7145999999999999,-0.10280000000000003,-0.3954166666666666,-0.759375,0.025208333333333315,-1.593148148148148,-0.9366666666666664,-0.1472222222222222,-0.756551724137931,-0.533448275862069,0.02620689655172416,-0.7260416666666667,-0.440625,0.1814583333333333,-1.3507894736842108,0.1444736842105263,0.32868421052631575,-0.44697674418604655,-0.5945348837209303,-0.2769767441860465
0,-0.5815000000000001,-0.3825,1.129,0.0,0.0,0.0,-0.5539999999999999,-0.8580000000000001,0.13933333333333325,-0.7084,-0.31639999999999996,-0.20439999999999997,-1.308571428571429,0.06142857142857142,-0.9657142857142859,0.7100000000000001,-0.9169230769230767,-0.12230769230769226,1.9,-1.7799999999999998,-0.54,0.0,0.0,0.0,-0.5558333333333333,-1.1683333333333332,-0.15458333333333338,-0.7260416666666667,-0.440625,0.1814583333333333,2.05,-4.06,0.36,-2.54,2.44,0.43
0,-0.23333333333333325,1.4799999999999998,-0.8133333333333334,0.0,0.0,0.0,0.7283870967741934,-0.0738709677419355,0.15354838709677412,-1.2545714285714287,-0.8377142857142854,-0.21914285714285717,0.5199999999999999,-1.4785714285714289,-0.11214285714285725,0.0,0.0,0.0,0.0,0.0,0.0,1.0871428571428572,-2.3728571428571428,0.17571428571428574,0.28999999999999987,-2.513333333333333,1.2216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.10624999999999998,-0.11124999999999999,-0.96
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806875,0.09562500000000007,-0.0024999999999999467,-1.308571428571429,0.06142857142857142,-0.9657142857142859,0.7100000000000001,-0.9169230769230767,-0.12230769230769226,1.9,-1.7799999999999998,-0.54,0.0,0.0,0.0,1.4649999999999999,-1.3466666666666665,-1.2033333333333334,-0.06744186046511631,-1.1293023255813952,0.1141860465116279,-4.28,-1.3,-1.49,-4.28,-1.3,-1.49
0,0.11899999999999994,-0.5525000000000001,-0.31050000000000005,-1.375121951219512,-0.6770731707317074,0.17756097560975606,-0.3778571428571429,-0.2933673469387756,0.14693877551020404,-1.0171428571428571,-0.9245714285714284,-0.38400000000000006,-1.0663333333333334,-1.1406666666666667,-0.6686666666666666,-0.3896,-0.5678,0.02059999999999997,-0.15687500000000001,-0.6054166666666666,0.06291666666666663,-1.5657407407407409,-1.0538888888888889,-0.22351851851851853,-0.9275000000000001,-1.0557142857142856,-0.6067857142857144,-1.1287234042553194,-0.3995744680851064,-0.05680851063829783,-1.7273684210526317,-0.0805263157894737,-0.07078947368421051,-0.07461538461538467,-0.46451923076923074,-0.17615384615384616
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.42120000000000013,-0.6624,-0.07980000000000004,-0.31416666666666665,-0.644375,0.12604166666666664,-1.221111111111111,-0.7912962962962963,0.01759259259259261,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.47780000000000006,-0.6688,-0.12260000000000006,-0.27458333333333335,-0.6983333333333333,0.1002083333333333,-1.221111111111111,-0.7912962962962963,0.01759259259259261,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.39180000000000015,-0.5312,-0.157,-0.27458333333333335,-0.6983333333333333,0.1002083333333333,-1.221111111111111,-0.7912962962962963,0.01759259259259261,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
0,0.21103896103896108,-0.5800000000000001,-0.17025974025974033,-1.313658536585366,-1.187560975609756,-0.20487804878048785,-0.632051282051282,-0.14410256410256403,0.02487179487179483,-1.1094285714285717,-0.3488571428571428,-0.3251428571428572,-1.504333333333333,-0.8433333333333334,-0.4850000000000001,-0.42120000000000013,-0.6624,-0.07980000000000004,-0.27458333333333335,-0.6983333333333333,0.1002083333333333,-1.1938888888888888,-0.6698148148148148,-0.053888888888888875,-0.6670370370370371,-0.5407407407407406,-0.7996296296296298,-0.9004166666666666,-0.2058333333333333,0.014583333333333282,-1.1628947368421054,-0.5760526315789473,0.039736842105263154,-0.3917808219178082,-0.587945205479452,-0.2595890410958904
